Picture,indicators,indicators.png
SpriteList,indicators,14,64,64
Animation,playerIndicator,true
AnimSprite,indicators_0,400
AnimSprite,indicators_1,100
AnimSprite,indicators_2,400
AnimSprite,indicators_1,100
Animation,enemyIndicator2,true
AnimSprite,indicators_3,450
AnimSprite,indicators_4,70
AnimSprite,indicators_5,450
AnimSprite,indicators_4,70
Animation,enemyIndicator,true
AnimSprite,indicators_6,300
AnimSprite,indicators_7,100
AnimSprite,indicators_8,100
AnimSprite,indicators_9,200
AnimSprite,indicators_7,100
Animation,menuIndicatorLeftToRight,true
AnimSprite,indicators_10,300
AnimSprite,indicators_11,100
AnimSprite,indicators_12,100
AnimSprite,indicators_13,200
AnimSprite,indicators_11,100
